trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.25, 'e': 1.0}",25,0,-131.90066467247627,"{0: 11, 1: 5, 2: 8, 3: 0, 4: 1}",0
2,False,"{'a': 0.25, 'e': 0.7788007830714049}",25,15,-49.841322622278106,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 1}",1
3,False,"{'a': 0.25, 'e': 0.6065306597126334}",25,5,-2.365912358602877,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",1
4,False,"{'a': 0.25, 'e': 0.4723665527410147}",30,12,-22.41123953537669,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 0}",1
5,False,"{'a': 0.25, 'e': 0.36787944117144233}",20,0,-96.63042187520298,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
6,False,"{'a': 0.25, 'e': 0.2865047968601901}",25,0,-50.70410385431413,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
7,False,"{'a': 0.25, 'e': 0.22313016014842982}",20,0,-24.706601280834935,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
8,False,"{'a': 0.25, 'e': 0.17377394345044514}",20,0,17.84560323736192,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
9,False,"{'a': 0.25, 'e': 0.1353352832366127}",20,13,-8.4903237264022,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
10,False,"{'a': 0.25, 'e': 0.10539922456186433}",30,13,-27.370338827517703,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
11,False,"{'a': 0.25, 'e': 0.0820849986238988}",25,19,12.550842304748066,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,False,"{'a': 0.25, 'e': 0.06392786120670757}",25,9,22.22027366919372,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.25, 'e': 0.049787068367863944}",25,9,13.87738935177611,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
14,False,"{'a': 0.25, 'e': 0.03877420783172201}",20,12,2.4702839389775244,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
15,False,"{'a': 0.25, 'e': 0.0301973834223185}",25,13,-6.820426169864726,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
16,False,"{'a': 0.25, 'e': 0.023517745856009107}",20,12,12.953171566571184,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.25, 'e': 0.01831563888873418}",25,16,19.866700411667978,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.25, 'e': 0.014264233908999256}",35,11,39.09056267002406,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.25, 'e': 0.011108996538242306}",20,12,17.253126161833702,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.25, 'e': 0.008651695203120634}",20,12,14.889650975203185,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,8,30.615157531922158,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,14,9.540315858617792,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",35,26,18.10800597509966,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,5,9.439383708168426,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,20,7.7857026390999575,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,12,12.821791491295409,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,0,12.80806428105348,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",30,18,19.166660093606723,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,13,14.64503882738278,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,12,14.410885930417791,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,True,"{'a': 0, 'e': 0}",20,13,13.48962892558061,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,True,"{'a': 0, 'e': 0}",25,20,6.43866852105353,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,True,"{'a': 0, 'e': 0}",30,20,18.337377788599905,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,True,"{'a': 0, 'e': 0}",25,11,24.6527487579034,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,True,"{'a': 0, 'e': 0}",30,18,24.896083551668298,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,True,"{'a': 0, 'e': 0}",20,11,15.119563920269712,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,True,"{'a': 0, 'e': 0}",35,13,40.317605884903394,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,True,"{'a': 0, 'e': 0}",20,8,22.08666805880401,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,True,"{'a': 0, 'e': 0}",25,15,14.272780221618092,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,True,"{'a': 0, 'e': 0}",20,11,13.526459833690822,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,True,"{'a': 0, 'e': 0}",20,13,15.289159337581028,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
22,True,"{'a': 0, 'e': 0}",25,11,14.47156593019735,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
23,True,"{'a': 0, 'e': 0}",30,18,22.483646127476636,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
24,True,"{'a': 0, 'e': 0}",25,11,25.904529220196782,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,True,"{'a': 0, 'e': 0}",35,17,31.665243087265978,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
26,True,"{'a': 0, 'e': 0}",20,10,12.325239428699337,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,True,"{'a': 0, 'e': 0}",25,15,-23.79736812762661,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
28,True,"{'a': 0, 'e': 0}",20,12,11.58066790379665,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
29,True,"{'a': 0, 'e': 0}",20,15,-11.695598181534397,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
30,True,"{'a': 0, 'e': 0}",35,25,-25.427270303188354,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
31,True,"{'a': 0, 'e': 0}",25,9,-14.363192954927573,"{0: 14, 1: 0, 2: 0, 3: 2, 4: 0}",1
32,True,"{'a': 0, 'e': 0}",25,13,16.892993322143155,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
33,True,"{'a': 0, 'e': 0}",25,20,9.620340549503355,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
34,True,"{'a': 0, 'e': 0}",30,13,10.186691807337763,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
35,True,"{'a': 0, 'e': 0}",30,16,-17.488872121926377,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
36,True,"{'a': 0, 'e': 0}",20,6,23.264949433940956,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
37,True,"{'a': 0, 'e': 0}",20,12,17.317368138581635,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
38,True,"{'a': 0, 'e': 0}",25,14,13.795693217498819,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
39,True,"{'a': 0, 'e': 0}",25,5,35.4843937225721,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
40,True,"{'a': 0, 'e': 0}",20,10,15.822685537769859,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
41,True,"{'a': 0, 'e': 0}",30,17,28.728013630231054,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
42,True,"{'a': 0, 'e': 0}",20,5,-21.132741770671707,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
43,True,"{'a': 0, 'e': 0}",25,20,10.462399255059559,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,True,"{'a': 0, 'e': 0}",20,11,13.795738239433557,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
