trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.1, 'e': 1.0}",25,1,-59.01915012980095,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 0}",1
2,False,"{'a': 0.1, 'e': 0.9048374180359595}",20,0,-122.48605657964882,"{0: 10, 1: 3, 2: 4, 3: 2, 4: 1}",0
3,False,"{'a': 0.1, 'e': 0.8187307530779818}",20,0,-64.9044713195279,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
4,False,"{'a': 0.1, 'e': 0.7408182206817179}",30,0,-150.02732097886738,"{0: 19, 1: 3, 2: 4, 3: 2, 4: 2}",0
5,False,"{'a': 0.1, 'e': 0.6703200460356393}",25,0,-110.52490174879769,"{0: 18, 1: 2, 2: 2, 3: 1, 4: 2}",0
6,False,"{'a': 0.1, 'e': 0.6065306597126334}",20,0,-62.569659476482755,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
7,False,"{'a': 0.1, 'e': 0.5488116360940264}",20,0,-38.48443692429933,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
8,False,"{'a': 0.1, 'e': 0.49658530379140947}",20,0,-51.83362802921322,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 0}",0
9,False,"{'a': 0.1, 'e': 0.44932896411722156}",20,2,10.139417354603633,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
10,False,"{'a': 0.1, 'e': 0.4065696597405991}",20,0,-18.93648442710248,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
11,False,"{'a': 0.1, 'e': 0.36787944117144233}",25,0,-1.7240585092949712,"{0: 20, 1: 4, 2: 1, 3: 0, 4: 0}",0
12,False,"{'a': 0.1, 'e': 0.33287108369807955}",20,0,10.126662438084809,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
13,False,"{'a': 0.1, 'e': 0.301194211912202}",20,0,-68.35666871706471,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
14,False,"{'a': 0.1, 'e': 0.2725317930340126}",20,0,14.722192273451823,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
15,False,"{'a': 0.1, 'e': 0.24659696394160643}",25,0,15.97443994982156,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
16,False,"{'a': 0.1, 'e': 0.22313016014842982}",25,8,-32.840668456603105,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
17,False,"{'a': 0.1, 'e': 0.20189651799465538}",30,17,18.066363962185168,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.1, 'e': 0.1826835240527346}",20,10,15.325074003881808,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.1, 'e': 0.16529888822158653}",20,14,11.45784705109929,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.1, 'e': 0.14956861922263504}",20,8,23.22276343714968,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,False,"{'a': 0.1, 'e': 0.1353352832366127}",25,0,25.97478558684001,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
22,False,"{'a': 0.1, 'e': 0.1224564282529819}",25,10,22.3830743624127,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,False,"{'a': 0.1, 'e': 0.11080315836233387}",25,15,17.084142173623086,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
24,False,"{'a': 0.1, 'e': 0.1002588437228037}",25,0,31.952680912851783,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
25,False,"{'a': 0.1, 'e': 0.09071795328941247}",20,10,15.803436208609508,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
26,False,"{'a': 0.1, 'e': 0.0820849986238988}",20,2,-4.228295777992752,"{0: 16, 1: 1, 2: 0, 3: 1, 4: 0}",1
27,False,"{'a': 0.1, 'e': 0.07427357821433388}",30,14,30.38054256675326,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,False,"{'a': 0.1, 'e': 0.06720551273974976}",35,20,24.25939162227984,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
29,False,"{'a': 0.1, 'e': 0.06081006262521795}",20,10,20.615527088135718,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
30,False,"{'a': 0.1, 'e': 0.05502322005640721}",25,11,4.505857519960509,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
31,False,"{'a': 0.1, 'e': 0.049787068367863944}",20,2,7.654606774111971,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
32,False,"{'a': 0.1, 'e': 0.0450492023935578}",20,13,12.587445244901588,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
33,False,"{'a': 0.1, 'e': 0.04076220397836621}",25,15,17.016524975132448,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
34,False,"{'a': 0.1, 'e': 0.036883167401239994}",20,2,-6.19512472802236,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 0}",1
35,False,"{'a': 0.1, 'e': 0.033373269960326066}",25,9,26.13809355428534,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
36,False,"{'a': 0.1, 'e': 0.0301973834223185}",30,10,29.728207825608372,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
37,False,"{'a': 0.1, 'e': 0.02732372244729256}",20,5,23.30232933381506,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
38,False,"{'a': 0.1, 'e': 0.024723526470339388}",20,7,23.328328428930085,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
39,False,"{'a': 0.1, 'e': 0.02237077185616559}",20,14,-10.817554835641147,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 0}",1
40,False,"{'a': 0.1, 'e': 0.02024191144580438}",20,14,12.052129122667411,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
41,False,"{'a': 0.1, 'e': 0.01831563888873418}",25,13,19.49469072837787,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
42,False,"{'a': 0.1, 'e': 0.016572675401761237}",25,8,21.435714555319656,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
43,False,"{'a': 0.1, 'e': 0.014995576820477703}",30,8,34.43442067261105,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.1, 'e': 0.013568559012200934}",25,11,26.373030198987692,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.1, 'e': 0.012277339903068436}",20,13,11.620939212562886,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.1, 'e': 0.011108996538242306}",20,12,15.246999880477293,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.1, 'e': 0.010051835744633576}",25,15,17.34565177404864,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.1, 'e': 0.009095277101695816}",35,19,27.015062889065426,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.1, 'e': 0.008229747049020023}",25,8,29.533635866902927,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.1, 'e': 0.007446583070924338}",35,9,39.93243783939071,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.1, 'e': 0.006737946999085467}",20,13,14.735400391149675,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.1, 'e': 0.006096746565515633}",30,16,22.627529856219844,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.1, 'e': 0.0055165644207607716}",30,13,26.41657622804446,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.1, 'e': 0.004991593906910213}",25,11,30.275063640335446,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.1, 'e': 0.004516580942612666}",20,8,17.951250450558746,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.1, 'e': 0.004086771438464067}",30,15,27.32914169819661,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.1, 'e': 0.003697863716482929}",20,6,25.026879310295563,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.1, 'e': 0.003345965457471272}",30,8,34.96675449319665,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.1, 'e': 0.0030275547453758127}",25,9,28.10373978837529,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.1, 'e': 0.0027394448187683684}",25,19,8.731639178783148,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.1, 'e': 0.0024787521766663585}",30,17,22.225762926467283,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.1, 'e': 0.002242867719485801}",30,22,16.154012621899064,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.1, 'e': 0.002029430636295734}",30,10,32.88605224409066,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.1, 'e': 0.0018363047770289056}",25,15,20.58802590644572,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.1, 'e': 0.001661557273173934}",25,20,11.215062440702297,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.1, 'e': 0.0015034391929775724}",25,12,20.12358823376808,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.1, 'e': 0.0013603680375478928}",20,5,30.578962821640292,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.1, 'e': 0.001230911902673481}",25,11,28.321386947884417,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.1, 'e': 0.0011137751478448024}",20,2,30.704912121652832,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.1, 'e': 0.0010077854290485105}",30,18,20.56465744731714,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.1, 'e': 0.0009118819655545162}",20,16,9.821553145143927,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,12,15.943215792579295,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",35,13,31.993915257298386,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,8,21.56797659790483,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,17,13.966380931025345,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,4,26.983537364266677,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,20,11.131365770882569,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,11,17.898284474584628,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,12,26.148178532401054,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",30,16,26.126813966702223,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,6,22.27205478327734,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,True,"{'a': 0, 'e': 0}",25,17,15.179973222045705,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,True,"{'a': 0, 'e': 0}",25,15,12.184557174964594,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,True,"{'a': 0, 'e': 0}",35,19,31.542399088289244,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
